title,link,summary,year,month,day
Generally available: Premium-series hardware for Azure SQL Managed Instance,https://azure.microsoft.com/ja-jp/updates/generally-available-premiumseries-hardware-for-azure-sql-managed-instance/,Leverage new Azure SQL Managed Instance premium-series hardware based on the latest Intel CPUs that offers significantly improved performance and scalability.,2022,7,19
Generally available: Virtual machine restore points,https://azure.microsoft.com/ja-jp/updates/vmrestorepointsga/,"For customers and Azure partners who are looking to build business continuity and disaster recovery solutions, VM restore points provide a feature rich building blocks available natively on Azure platform.",2022,7,19
General availability: Azure Archive Storage now available in South Africa North,https://azure.microsoft.com/ja-jp/updates/general-availability-azure-archive-storage-now-available-in-south-africa-north/,"Reduce spending by storing rarely accessed data to Azure Archive Storage, now in new regions.",2022,7,6
Public preview: Ephemeral OS disk support for confidential virtual machines,https://azure.microsoft.com/ja-jp/updates/public-preview-ephemeral-os-disk-support-for-confidential-vms/,Create confidential VMs using Ephemeral OS disks for your stateless workloads.,2022,7,5
