title,link,summary,year,month,day
General availability: Azure Database for MySQL - Flexible Server data encryption with CMK,https://azure.microsoft.com/ja-jp/updates/general-availability-azure-database-for-mysql-flexible-server-data-encryption-with-cmk-2/,Encrypt your data with customer-managed keys to enable an extra layer of security for data at rest.,2022,12,14
Generally available: Updated API names for Azure Cosmos DB,https://azure.microsoft.com/ja-jp/updates/generally-available-updated-api-names-for-azure-cosmos-db/,"See multiple updated API names in Azure Cosmos DB on product pages, in technical documentation, and billing that will not impact your experience, product functionality, or performance.",2022,12,14
General availability: Azure Cosmos DB for PostgreSQL now available in new regions,https://azure.microsoft.com/ja-jp/updates/general-availability-azure-cosmos-db-for-postgresql-now-available-in-new-regions/,Create Azure Cosmos DB for PostgreSQL clusters now in the Sweden Central and Switzerland West regions.,2022,12,14
Public Preview: Materialized view for Azure Cosmos DB for Apache Cassandra,https://azure.microsoft.com/ja-jp/updates/public-preview-materialized-view-for-azure-cosmos-db-for-apache-cassandra/,Experience even greater compatibility for native Apache Cassandra with materialized view.,2022,12,14
General availability: JSON support in Azure Cache for Redis Enterprise tiers,https://azure.microsoft.com/ja-jp/updates/general-availability-json-support-in-azure-cache-for-redis-enterprise-tiers/,Gain powerful tools for working with JSON formatted data in Azure Cache for Redis through the RedisJSON module.,2022,12,14
Generally Available: Azure Functions support for Java 17,https://azure.microsoft.com/ja-jp/updates/generally-available-azure-functions-support-for-java-17/,You can now use the latest LTS version of Java with Azure Functions.,2022,12,14
Azure SQL—General availability updates for mid-December 2022,https://azure.microsoft.com/ja-jp/updates/azure-sql-general-availability-updates-for-middecember-2022/,General availability enhancements and updates released for Azure SQL in mid-December 2022.,2022,12,14
Community support for Azure Functions Proxies will end on 30 September 2025,https://azure.microsoft.com/ja-jp/updates/community-support-for-azure-functions-proxies-will-end-on-30-september-2025/,Transition to Azure API Management as soon as possible to avoid disruption to your Function applications using Proxies.,2022,12,2
